연도,시도,65-69세,70-74세,75-79세,80-84세,85세이상,region,광역지자체,기초지자체,교육인원,행정구역,2025년07월_전체,2025년07월_남자,2025년07월_여자,2025년07월_65세이상전체,2025년07월_65세이상남자,2025년07월_65세이상여자,구분,Unnamed: 1,기관수,프로그램수,학습자수,교강사수,사무직원수
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,강릉시,2890.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,고성군,46.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,동해시,1754.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,삼척시,420.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,속초시,168.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,양구군,107.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,양양군,262.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,영월군,565.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,원주시,7194.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,인제군,355.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,정선군,179.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,철원군,12.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,춘천시,4205.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,태백시,48.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,평창군,106.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,홍천군,887.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,화천군,12.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,횡성군,709.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,강원 Gangwon,22311.0,16371.0,15769.0,14517.0,10519.0,강원특별자치도,강원특별자치도,이동형 교육,439.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,강릉시,2890.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,고성군,46.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,동해시,1754.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,삼척시,420.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,속초시,168.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,양구군,107.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,양양군,262.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,영월군,565.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,원주시,7194.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,인제군,355.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,정선군,179.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,철원군,12.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,춘천시,4205.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,태백시,48.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,평창군,106.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,홍천군,887.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,화천군,12.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,횡성군,709.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2023.0,강원 Gangwon,24488.0,17181.0,16050.0,15225.0,11836.0,강원특별자치도,강원특별자치도,이동형 교육,439.0,강원특별자치도  (5100000000),1510181.0,759348.0,750833.0,396516.0,178049.0,218467.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,가평군,729.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,고양시,1540.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,과천시,236.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,광명시,2770.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,광주시,322.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,구리시,72.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,군포시,819.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,김포시,3683.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,남양주시,251.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,동두천시,180.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,부천시,4091.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,성남시,3014.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,수원시,9797.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,시흥시,1962.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,안산시,2389.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,안성시,3133.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,안양시,1324.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,양주시,325.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,양평군,687.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,여주시,1074.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,연천군,421.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,오산시,2517.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,용인시,1340.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,의왕시,600.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,의정부시,3220.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,이천시,744.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,파주시,633.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,평택시,672.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,포천시,444.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,하남시,793.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,화성시,1777.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,이동형 교육,1621.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,가평군,729.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,고양시,1540.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,과천시,236.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,광명시,2770.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,광주시,322.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,구리시,72.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,군포시,819.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,김포시,3683.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,남양주시,251.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,동두천시,180.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,부천시,4091.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,성남시,3014.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,수원시,9797.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,시흥시,1962.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,안산시,2389.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,안성시,3133.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,안양시,1324.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,양주시,325.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,양평군,687.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,여주시,1074.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,연천군,421.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,오산시,2517.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,용인시,1340.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,의왕시,600.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,의정부시,3220.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,이천시,744.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,파주시,633.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,평택시,672.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,포천시,444.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,하남시,793.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,화성시,1777.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,이동형 교육,1621.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,거제시,2133.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,거창군,713.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,고성군,791.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,김해시,3391.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,남해군,938.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,밀양시,576.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,사천시,2771.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,산청군,907.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,양산시,4506.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,의령군,678.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,진주시,7492.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,창녕군,3406.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,창원시,6915.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
2022.0,경남 Gyongnam,41123.0,32549.0,28283.0,26902.0,20717.0,경상남도,경상남도,통영시,1169.0,경상남도  (4800000000),3214016.0,1620579.0,1593437.0,727938.0,322754.0,405184.0,,,,,,,
