도시,도시영어이름,합계,65-69,70-74,75-79,80-84,85이상,인구수,고령자 비율,고령자수,고령자 비율,70 이상,75 이상,80 이상
서울특별시,Seoul,291881,88603,69505,57712,45157,30904,"9,325,616",3.129884396,291881,3.129884396,203278,133773,76061
부산광역시,Busan,151948,46276,37456,29862,23921,14433,"3,252,830",4.671255491,151948,4.671255491,105672,68216,38354
대구광역시,Daegu,93769,27586,22314,17546,15726,10597,"2,357,052",3.978232131,93769,3.978232131,66183,43869,26323
인천광역시,Incheon,88406,28165,20192,16766,13504,9779,"3,039,450",2.908618336,88406,2.908618336,60241,40049,23283
광주광역시,Gwangju,47746,13603,11203,9508,8004,5428,"1,399,082",3.412666305,47746,3.412666305,34143,22940,13432
대전광역시,Daejeon,47592,14870,11012,8847,7479,5384,"1,439,764",3.305541742,47592,3.305541742,32722,21710,12863
울산광역시,Ulsan,32284,11156,8111,5909,4405,2703,"1,093,665",2.951909406,32284,2.951909406,21128,13017,7108
세종특별자치시,Sejongsi,6789,2140,1512,1207,1059,871,"392,223",1.730903083,6789,1.730903083,4649,3137,1930
경기도,Gyeonggi-do,343792,108953,78302,65344,53678,37515,"13,711,404",2.507343522,343792,2.507343522,234839,156537,91193
강원도,Gangwon-do,79487,22311,16371,15769,14517,10519,"1,510,615",5.261896645,79487,5.261896645,57176,40805,25036
충청북도,Chungcheongbuk-do,70319,19626,14255,13323,13072,10043,"1,591,045",4.419673862,70319,4.419673862,50693,36438,23115
충청남도,Chungcheongnam-do,94668,23503,19625,17759,17977,15804,"2,135,890",4.432250725,94668,4.432250725,71165,51540,33781
전라북도,Jeollabuk-do,95606,21827,19897,19122,19183,15577,"1,730,258",5.525534342,95606,5.525534342,73779,53882,34760
전라남도,Jeollanam-do,113303,22949,22493,23555,24850,19456,"1,783,484",6.352902521,113303,6.352902521,90354,67861,44306
경상북도,Gyeongsangbuk-do,146795,36257,30793,27528,29021,23196,"2,519,474",5.826414561,146795,5.826414561,110538,79745,52217
경상남도,Gyeongsangnam-do,149574,41123,32549,28283,26902,20717,"3,216,105",4.650780991,149574,4.650780991,108451,75902,47619
제주특별자치도,Jeju-do,21311,6500,4477,3822,3342,3170,"666,625",3.196849803,21311,3.196849803,14811,10334,6512